Document,Page,Block,WordCount,Text
DDDD & DD.pdf,5,4,52,"których decyzje chcemy przedstawić. Nie trudno sobie wyobrazić tworzenie. ścieżek dla różnych płci, wieku, zakresów cenowych, obecności i wysokości. rabatu czy pory roku. W wyborze agregacji nic nie stoi na przeszkodzie aby. zamiast sumować wartości produktów - liczyć klientów czy sumować wagi. poszczególnych kruszców Kluczowym dla całego narzędzia, poza samą wizualizacją ścieżek."
DDDD & DD.pdf,5,5,29,"decyzyjnych jest automatyczny zapis, odczyt i podział danych, który pozwala. na przekazywanie obliczonych wag do porównania. Wśród wspomnianych ustawień użytkownika pojawia się wyraźne zapytanie o podział w kolumnie Województwo."
DDDD & DD.pdf,5,6,53,"na Mazowieckie i Śląskie. Dla każdego z warunków, dane wejściowe są. czytane, filtrowane, agregowane i ważone oddzielnie, co pozwala nam. porównywać ze sobą nierówne lub wybrakowane zbiory, gdyż wagi są relatywne. tylko wewnątrz zbioru (możemy wpuścić 100 klientów na 5 par kolczyków). Ciężko jednak sobie zwizualizować nałożenie na siebie dwóch drzew w celu."
DDDD & DD.pdf,6,1,49,"identyfikacji różnic między nimi. Z tego właśnie powodu surowe wagi. obliczone dla drzew są przekazywane dalej i porównywane statystycznie. Wykres słupkowy, który jest rezultatem drugiej części kodu, ukazuje. procentową zmianę w wagach decyzyjnych dla każdego z poziomów. Jest to przedstawione za poziomych słupków, gdzie każdy kolor reprezentuje jedno z."
DDDD & DD.pdf,6,2,41,"dwóch kryteriów, tu - województwo. Rozciąganie słupka na prawo lub lewo. wskazuje na odpowiednio wyższą różnicę w wagach pomiędzy oboma zbiorami. Ten wykres jest jest generowany na podstawie obliczonych dla AHP wag,. jednak nie jest ograniczony limitami które ustawialiśmy do wizualizacji."
DDDD & DD.pdf,6,3,31,"drzewa Wykres słupkowy przyjmuje oddzielne wartości limitów od których. zacznie wizualizacje Powyżej jest przedstawione porównanie wag drugiego. poziomu, które wygenerowaliśmy wraz z wcześniejszymi dwoma drzewami. Dla uproszczenia, wyświetlam odchylenia powyżej 80%."
DDDD & DD.pdf,7,1,20,"Nie wchodząc zbytnio w szczegóły, zauważamy na przykład to, że. Mazowszanie preferują prostsze zawieszki z Cyrkoniami oraz unikają pereł a."
DDDD & DD.pdf,7,2,24,"Ślązacy preferują zawieszki wymyślne i lżejsze bransoletki celebrytki. Wykorzystanie dynamicznych drzew decyzyjnych pozwala na głęboką i. instynktowną analizę preferencji klientów, identyfikując kluczowe różnice w."
DDDD & DD.pdf,7,3,25,"decyzjach zakupowych i nie tylko. Nie trudno wyobrazić sobie porównanie. pomiędzy tym co do sklepu się kupuje a tym, co kupują w nim klienci. Można"
DDDD & DD.pdf,7,4,22,też porównać jeden sklep wobec wszystkich innych i zyskać w prosty sposób. informacje które wspomogą przemyślaną decyzję. Narzędzie to może być użyte.
DDDD & DD.pdf,7,5,24,"do optymalizacji zapasów, planowania promocji, ustalania strategii. cenowych, a nawet projektowania układu sklepów. Dzięki dynamicznemu charakterowi modelu AHP, narzędzie to ma ogromny potencjał w."
DDDD & DD.pdf,7,6,46,"najróżniejszych zastosowaniach biznesowych Przypadki Użycia i Korzyści. Zastosowanie narzędzia AHP w sprzedaży biżuterii nie ogranicza się. jedynie do analizy danych sprzedażowych. Może ono również służyć do. przewidywania trendów, optymalizacji asortymentu w sklepie w zależności od. sezonu czy okazji, a także do personalizacji oferty dla klientów. Korzyści"
DDDD & DD.pdf,7,7,23,z jego zastosowania obejmują:. ● Lepsze zrozumienie potrzeb i preferencji klientów. ● Zwiększenie efektywności zarządzania zapasami. ● Wzmocnienie strategii marketingowych poprzez ukierunkowanie działań.
DDDD & DD.pdf,7,8,26,na najbardziej dochodowe kategorie produktów. ● Optymalizacja cen i promocji w oparciu o dokładną analizę danych. Rozwój narzędzia AHP do analizy danych w branży jubilerskiej stanowi.
DDDD & DD.pdf,7,9,26,"przełom w sposobie podejmowania decyzji. Jego wdrożenie pozwala na. systematyczne podejście do danych sprzedażowych, przekształcając je w. użyteczną wiedzę, która wspiera rozwój biznesu. Rekomenduje się dalszy"
DDDD & DD.pdf,7,10,24,"rozwój i dostosowanie narzędzia do specyficznych potrzeb branży, co może. przyczynić się do jeszcze lepszego zrozumienia rynku i skuteczniejszego. reagowania na zmieniające się warunki."
DDDD & DD.pdf,8,1,25,"Narzędzie to zostało opracowane przez zespół ekspertów IT. specjalizujących się w branży jubilerskiej, z pasją do tworzenia rozwiązań,. które ułatwiają podejmowanie informowanych decyzji biznesowych. Projekt"
DDDD & DD.pdf,8,2,59,"został zrealizowany przy współpracy z lokalnymi przedsiębiorstwami. jubilerskimi, które dostarczyły dane i wsparcie w testowaniu. funkcjonalności narzędzia Informacje Kontaktowe [Zespół IT - nazwa firmy]. [Adres e-mail] [Numer telefonu] [Adres strony internetowej] Deklaracja Prezentowane wyniki i analizy oparte są na rzeczywistych danych. sprzedażowych, zanonimizowanych w celu zachowania poufności informacji. biznesowych Projekt został zrealizowany z zachowaniem najwyższych. standardów etycznych i profesjonalnych."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",2,1,53,"2 Automatyzacja w lotnictwie nie jest niczym nowym - czym mniej wymagamy od pilota. tym bezpieczniej dla niego, podróżujących jak i samej maszyny. Różne formy stabilizacji potrafiły utrzymać samolot w stałym kursie, wysokości i prędkości na podstawie żyroskopów już. w latach 40-tych, a dekadę później w samolotach wojskowych do pakietu dołączyły już pierwsze."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",2,2,52,"automatyczne systemy startu i lądowania. Teraz, w 2024 roku widząc słynne Tesle nawet na. polskich drogach, nie trudno wyobrazić sobie podobny koncept taksówek w powietrzu, gdzie. ilość interakcji ze środowiskiem jest dużo mniejsza i agregowalna do znanych nam zasad fizyki. Automatyzacja w lotnictwie jest na różnym poziomie wszechobecna - myśląc o powietrznych."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",2,3,53,"taksówkach powinniśmy myśleć nie tylko o aspektach technologicznych, ale również skutkach. społecznych, ekonomicznych i psychologicznych. Wstęp teoretyczny Jak wiele innych, branża lotnicza również stawia czoło wobec rozwoju technologii. Sztucznej Inteligencji (SI) oraz możliwości i wyzwań które ta fala rozwoju przynosi. Z jednej strony, SI oferuje obietnicę zwiększonej efektywności i bezpieczeństwa, co jest szczególnie."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",2,4,84,"istotne w obliczu rosnącego zapotrzebowania na transport lotniczy i niedoboru. wykwalifikowanych pilotów (Talley, 2020). Z drugiej strony, wprowadzenie autonomicznych. systemów rodzi pytania dotyczące zaufania i bezpieczeństwa operacyjnego, a także. potencjalnego wpływu na rynek pracy w sektorze lotniczym (Carroll i Dahlstrom, 2021). Jednym z głównych wyzwań dla przyjęcia automatyzacji w lotnictwie jest budowanie. zaufania publicznego Rozważając przyszłość powietrznych taksówek i innych autonomicznych. systemów lotniczych, kluczowe staje się zrozumienie, jak zarówno potencjalni użytkownicy, jak. i pracownicy branży lotniczej postrzegają te zmiany (Weitering, 2023). Analiza tych wyzwań"
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",3,1,27,3 oraz projektowanych im rozwiązań jest konieczna dla lepszego zrozumienia przyszłości. transportu lotniczego Istniejące rozwiązania W ostatnich latach badania skupiające się na adaptacji SI w transporcie powietrznym.
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",3,2,92,"szczególnie zyskały na znaczeniu. Istotnym aspektem tych badań jest społeczna akceptacja i. zaufanie do nowych technologii. Przegląd literatury naukowej ujawnia złożoność wyzwań oraz. potencjał możliwości, które niesie za sobą automatyzacja w lotnictwie, a eksperymentalne. badania - zarówno fizyczne symulacje lotów, jak i zadania z technikami projekcyjnymi -. dostarczają cennych wskazówek dotyczących projektowania i wdrażania tych nowoczesnych. technologii w przyszłości Sarah Talley, w swojej metaanalizie dotyczącej publicznego przyjęcia samolotów. autonomicznych (Self Flying Aircraft, SFA), ukazuje pozytywne nastawienie do tej technologii. (2020) Na podstawie istniejących prac, jej przegląd miał na celu zrozumienie, które czynniki."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",3,3,65,"wpływają na gotowość do korzystania np. z dronów spełniających zadania kurierskie. Jej badania za główne czynniki wykazały: korzyści środowiskowe, postrzeganą użyteczność, łatwość użycia. oraz zaufanie, jednakże, na drodze do akceptacji publicznej stoją obawy dotyczące. bezpieczeństwa, niezawodności oraz ochrony prywatności, jak i danych osobowych. Wynika z tego, że sukces wdrażania SFA zależy nie tylko od zaawansowania technologicznego, ale. również od budowania zaufania i rozwiewania obaw społecznych."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",3,4,41,"Badanie Papenfuss i in. (2023) dotyczące doświadczeń pasażerów w symulowanym locie. taksówką powietrzną wykorzystywało symulator mieszanej rzeczywistości (Augmented Reality,. AR), aby zapewnić uczestnikom realistyczne doświadczenie podróży. Skupiono się na analizie. wpływu obecności załogi na pokładzie oraz symulowanych sytuacji awaryjnych na wrażenia."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",4,1,20,"4 uczestników, podkreślając, że zaufanie i akceptacja są złożonymi, wielowymiarowymi. pojęciami Wyniki pokazały, że obecność personelu na pokładzie generalnie poprawia."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",4,2,96,"samopoczucie pasażerów, zwłaszcza w nietypowych sytuacjach, chociaż znajdowali się również. uczestnicy, którzy porównywali obecność członka załogi autonomicznego statku do. nieproszonego gościa w windzie. Uczestnicy badania zwracali większość uwagi na otrzymywane. informacje o statusie lotu i działaniach autopilota, szczególnie źle wspominając jego nagłe. manewry, które występowały podczas wzlotu, lądowania oraz unikania innych statków. powietrznych Mimo że symulacja odbywała się przy użyciu AR, badanie odbywało się. wewnątrz statycznej makiety powietrznej taksówki, a więc brakowało uczucia rzeczywistego. ruchu pojazdu korelującego z iluzją ruchu obrazu za oknem, co wpływało negatywnie na. samopoczucie uczestników Niemniej jednak, wyniki badań przeprowadzonych nawet na."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",4,3,24,niewielkiej grupie 30 osób wydają się obiecujące i wskazują na przydatność tego rodzaju. symulacji w dalszych badaniach. Symulacje te mogłyby również wskazać na potencjalne.
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",4,4,55,"udoskonalenia w sposobie dostarczania informacji pilotom, wnosząc perspektywę. pasażerów-laików do ekskluzywnej dyskusji na temat interfejsów statków powietrznych (Carroll. i Dahlstrom, 2021) Zgadzając się z autorami, myślę że wyniki dalszych badań opartych na. symulacjach i wywiadach będą miały kluczowe znaczenie dla wdrażania tych technologii. Eksperyment ""AI Pilot in the Cockpit: An Investigation of Public Acceptance"" autorstwa."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",4,5,63,"Shan Gao i in. (2024) bada akceptację chińskiego społeczeństwa na obecność SI w kokpicie. samolotów pasażerskich Badani wypełniali ankiety online oparte o scenariusze, w których byli. proszeni o zapoznanie się z podstawami teoretycznymi SFA oraz o uczestnictwo w zadaniu. projekcyjnym Wyniki analizowały emocjonalne reakcje, zaufanie, akceptację ryzyka i gotowość. do korzystania z lotów z jednym pilotem (Single Pilot Operations, SPO), dwoma pilotami (Dual."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",5,1,24,"5 Pilot Operations, DPO) oraz ewentualną obecnością SI w kokpicie. Pasażerowie wyrażali obawy związane z potencjalnymi awariami, brakiem ludzkiej reakcji w sytuacjach kryzysowych oraz."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",5,2,142,"ogólnym poczuciem niepewności co do zdolności SI. Co interesujące, badacze odnotowali. spadek zaufania pasażerów, gdy do dwóch pilotów w kabinie dodaje się SI, co może wynikać z. obaw o możliwe konflikty w zadaniach i procedurach pomiędzy trzema agentami w jednym. interfejsie Badacze, zwracając uwagę na problematyczność wprowadzenia SI do kokpitów. samolotów, podkreślają potrzebę tworzenia takich algorytmów, które są wyjaśnialne. (Explainable AI), a ich intencje oraz procesy decyzyjne są jasno przedstawione zarówno pilotom,. jak i pasażerom Wyniki te podkreślają, że dla pełnej akceptacji SI w roli pilota, kluczowe jest. budowanie zaufania i zapewnienie odpowiednich środków bezpieczeństwa. Propozycja schematu badania Na podstawie analizy istniejących badań i kluczowych aspektów związanych z. akceptacją nowych technologii w lotnictwie, chciałbym zaproponować projekt badawczy, który. stara się łączyć najlepsze praktyki, jak i uzupełniać braki powyższych badań. Moim celem jest zrozumienie gotowości polskiej społeczności do przyjęcia i korzystania z powietrznych."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",5,3,28,"taksówek w najbliższej przyszłości. Projekt składa się z dwóch badań. Pierwszym jest ankieta wykonana na masową skalę,. która byłaby opracowana w oparciu o Model Akceptacji Technologii (Technology Acceptance."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",5,4,59,"Model, TAM), co pozwoliłoby na zebranie danych dotyczących postaw, emocji, zaufania i. akceptacji ryzyka związanego z tą technologią. Ankieta będzie stratyfikowana według różnych. demografii, takich jak wiek, płeć, wykształcenie, oraz doświadczenia z technologią czy podróżą. powietrzną oraz wykorzysta metody statystyczne, takie jak analiza czynnikowa, do oceny postaw. i percepcji Badani byliby zapoznani z kluczowymi aspektami działania tych pojazdów, ich."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",6,1,45,"6 bezpieczeństwem, potencjalnymi korzyściami, jak również z wyzwaniami, które niosą ze sobą. Następnie, aby wzbogacić ich zrozumienie i wywołać refleksję, uczestnicy zostaną wprowadzeni. w różnorodne scenariusze, konstruowane tak, aby odzwierciedlały potencjalnie realne sytuacje. Uczestnicy będą mieli okazję wyobrazić sobie, jak mogą wyglądać podróże, jakie wyzwania."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",6,2,29,"mogą napotkać, a także jakie decyzje mogliby podjąć w różnych sytuacjach. Drugim badaniem jest eksperyment w symulatorze, wykorzystujący zaawansowane. technologie AR które umożliwią realistyczne symulacje lotów i scenariuszy awaryjnych."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",6,3,43,"Eksperyment ten wyrośnie ponad dotychczasowe (Papenfuss i in. , 2023) poprzez dostosowanie. do badań symulatorów cywilnych kokpitów o pełnej swobodzie ruchu. Wykorzystanie tej technologii umożliwi poprawne zrozumienie reakcji fizycznych i emocjonalnych podczas. realistycznych przeciążeń i prawdziwego wrażenia kierunku ruchu, co jest kluczowe dla."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",6,4,27,"poprawnego działania błędnika, a co za tym idzie - trafnych badań, w których skupimy się na. metodach obserwacyjnych i analizie reakcji uczestników. Uczestnicy będą wpierw edukowani na."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",6,5,23,temat technologii i procedur związanych z autonomicznymi taksówkami powietrznymi na. poziomie nie mniejszym niż ci uczestniczący w ankiecie. Badani będą również postawieni w.
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",6,6,75,"różnych symulowanych scenariuszach np. podczas normalnego lotu, w sytuacjach awaryjnych. czy podczas interakcji z SI. Symulowane scenariusze będą zaprojektowane tak, aby. odzwierciedlały szeroki zakres potencjalnych doświadczeń, od rutynowych operacji lotniczych. po sytuacje wymagające szybkiego reagowania i decyzji kryzysowych, a uzyskane dane zostaną. przeanalizowane za pomocą analizy tematycznej, koncentrując się na procesach emocjonalnych i. decyzyjnych uczestników Do obu badań uczestnicy będą rekrutowani za pośrednictwem platform internetowych i. mediów społecznościowych Celem projektu jest zintegrowanie wiedzy z psychologii,."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",7,1,44,"7 technologii i nauk społecznych, aby zapewnić holistyczne spojrzenie na wyzwania i możliwości,. jakie niesie ze sobą wprowadzenie autonomicznego transportu powietrznego. Wyniki tych badań będą miały kluczowe znaczenie dla przyszłego projektowania, wdrażania oraz komunikacji. związanej z tą futurystyczną technologią transportu dóbr, jak i osób."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",7,2,50,"Wnioski, zrozumienie problemów i wyzwań. Z przeprowadzonych badań i analiz wynikają istotne wnioski dotyczące roli SI w. kokpitach przyszłości Przede wszystkim, implementacja nowych technologii wymaga nie tylko. rozwoju technicznego, ale także budowania zaufania społecznego i ciągłego dostosowywania. doń narzędzia Badania dowodzą, że postawy społeczne odgrywają kluczową rolę w akceptacji i."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",7,3,45,"efektywnym wdrażaniu innowacji w lotnictwie i nie tylko. Po drugie, ważnym jest zrozumienie,. że chociaż SI ma potencjał znacznego zwiększenia efektywności i bezpieczeństwa podróży,. każda zmiana technologiczna pociąga za sobą konsekwencje psychologiczne, społeczne i. ekonomiczne Przejrzysta komunikacja, świadomość korzyści i ryzyka oraz zarządzanie nimi są."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",7,4,22,"niezbędne do publicznego przyjęcia tych technologii. Po trzecie, eksperymentalne badania, takie. jak symulacje lotów wykorzystujące technologię AR, są niezastąpione w zrozumieniu potrzeb."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",7,5,27,"oraz oczekiwań pasażerów, jak i identyfikacji i rozwiązywaniu problemów, które mogą pozostać. niezauważone na etapie teoretycznym. W przyszłości, w której powietrzne taksówki staną się powszechnością, istotne będzie."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",7,6,37,"zrównoważenie zaawansowania technologii wobec ludzkiego zaufania i odczuć. Interdyscyplinarne badania, łączące innowacje techniczne z głębokim zrozumieniem. społecznych i psychologicznych aspektów, będą niezbędne do stworzenia bezpiecznej,. efektywnej i akceptowanej formy transportu powietrznego. Osiągnięcie tej harmonii to nie tylko."
"Latające Taksówki - Wdrażanie Innowacji  - Projekt (Lange, 67619).pdf",9,1,167,"9 Bibliografia Carroll, M , Dahlstrom, N (2021) Human computer interaction on the modern flight deck. International Journal of Human-Computer Interaction, 37, 585-587. https://doi org/10 1080/10447318 2021 1890495 Gao, S , Lu, Z , Luan, H , Yin, M , Wang, L (2024) AI pilot in the cockpit: An investigation of. public acceptance International Journal of Human-Computer Interaction, 1-14. https://doi org/10 1080/10447318 2024 2301856 Papenfuss, A , Stolz, M , Riedesel, N , Dunkel, F , Ernst, J M , Laudien, T , Lenz, H , Korkmaz, A , End, A , Schuchardt, B I (2023) Experiencing urban air mobility: How passengers. evaluate a simulated flight with an air taxi. arXiv preprint arXiv:2311 01079 SKYbrary (b d ) Cockpit automation - Advantages and safety challenges. Pobrane 29 stycznia 2024 z https://skybrary aero/articles/cockpit-automation-advantages-and-safety-challenges Talley, S M (2020) Public acceptance of AI technology in self-flying aircraft. Journal of Aviation/Aerospace Education & Research, 29(1), 49-64. Weitering, H (2023) Beyond automation: How artificial intelligence is transforming aviation. https://www futureflight aero/news-article/2023-07-13/beyond-automation-how-artificial- intelligence-transforming-aviation"
Ustawa.pdf,1,1,104,"©Kancelaria Sejmu s 1/15 2023-09-21 U S T AWA. z dnia 24 czerwca 1994 r. o własności lokali Rozdział 1 Przepisy ogólne Art 1 1 Ustawa określa sposób ustanawiania odrębnej własności. samodzielnych lokali mieszkalnych, lokali o innym przeznaczeniu, prawa i obowiązki. właścicieli tych lokali oraz zarząd nieruchomością wspólną. 2 W zakresie nieuregulowanym ustawą do własności lokali stosuje się przepisy. Kodeksu cywilnego Art 1a Ilekroć w ustawie jest mowa o właścicielu lokalu, należy przez to. rozumieć także współwłaściciela lokalu w częściach ułamkowych, z wyjątkiem. art 16 Art 2 1 Samodzielny lokal mieszkalny, a także lokal o innym przeznaczeniu,. zwane dalej „lokalami”, mogą stanowić odrębne nieruchomości."
Ustawa.pdf,1,2,47,"1a Ustanowienie odrębnej własności samodzielnego lokalu następuje zgodnie. z ustaleniami miejscowego planu zagospodarowania przestrzennego albo treścią. decyzji o warunkach zabudowy i zagospodarowania terenu [albo uchwały o ustaleniu. lokalizacji inwestycji mieszkaniowej] oraz zgodnie z pozwoleniem na budowę albo. skutecznie dokonanym zgłoszeniem, i zgodnie z pozwoleniem na użytkowanie albo."
Ustawa.pdf,1,3,30,skutecznie dokonanym zawiadomieniem o zakończeniu budowy. 1b Przepisu ust 1a nie stosuje się do budynków istniejących przed dniem. 1 stycznia 1995 r. lub wybudowanych na podstawie pozwolenia na budowę wydanego.
Ustawa.pdf,1,4,22,przed tą datą 1c Odrębną nieruchomość w budynku mieszkalnym jednorodzinnym mogą. stanowić co najwyżej dwa samodzielne lokale mieszkalne. Ograniczenie to nie ma.
Ustawa.pdf,1,5,40,"Opracowano na podstawie: t. j Dz U z 2021 r poz 1048, z 2023 r. poz 1688 Zmiana w ust 1a w art 2 wejdzie w życie z dn. 1 01 2026 r (Dz U z 2023 r poz 1688)"
Ustawa.pdf,2,1,44,"©Kancelaria Sejmu s 2/15 2023-09-21 zastosowania do budynków, które zostały wybudowane na podstawie pozwolenia na. budowę wydanego przed dniem 11 lipca 2003 r. 2 Samodzielnym lokalem mieszkalnym, w rozumieniu ustawy, jest wydzielona. trwałymi ścianami w obrębie budynku izba lub zespół izb przeznaczonych na stały."
